Ref,Name,Pos,Team,Value,Owners
295,Mathieu Debuchy,Defender,Arsenal,5.2,141834
296,Mapou YangaMbiwa,Defender,Newcastle,4.4,3805
297,Massadio Haidara,Defender,Newcastle,4.1,13299
298,Paul Dummett,Defender,Newcastle,4.1,164680
299,Lubomir Satka,Defender,Newcastle,3.9,6676
300,Gabriel Obertan,Midfielder,Newcastle,4.3,7718
301,Cheick Tiote,Midfielder,Newcastle,4.3,39285
302,Hatem Ben Arfa,Midfielder,Newcastle,5.5,17392
303,Shane Ferguson,Midfielder,Newcastle,4.5,1249
304,Mehdi Abeid,Midfielder,Newcastle,4.3,1489
305,Sylvain Marveaux,Midfielder,Newcastle,4.5,49
306,Gael Bigirimana,Midfielder,Newcastle,4.4,1007
307,Vurnon Anita,Midfielder,Newcastle,4.7,2755
308,Moussa Sissoko,Midfielder,Newcastle,5.8,63523
309,Jack Colback,Midfielder,Newcastle,4.7,99941
310,Jonas Gutierrez,Midfielder,Newcastle,4.2,11750
311,Yoan Gouffran,Midfielder,Newcastle,6,16855
312,Sammy Ameobi,Midfielder,Newcastle,4.2,85781
313,Siem de Jong,Midfielder,Newcastle,6.8,14208
314,Papiss Demba Cisse,Forward,Newcastle,5.2,29587
315,Adam Campbell,Forward,Newcastle,4.4,4654
316,Adam Armstrong,Forward,Newcastle,4.3,5565
317,Ayoze,Forward,Newcastle,4.3,62886
318,Robert Green,Goalkeeper,QPR,4.5,89053
319,Brian Murphy,Goalkeeper,QPR,3.9,63952
320,Richard Dunne,Defender,QPR,4.2,5425
321,Clint Hill,Defender,QPR,4.2,2315
322,Nedum Onuoha,Defender,QPR,4.3,3326
323,Yun,Defender,QPR,3.9,57910
324,Danny Simpson,Defender,Leicester,4.1,5936
325,Armand Traore,Midfielder,QPR,4.3,10933
326,Alejandro Faurlin,Midfielder,QPR,4.2,2717
327,Karl Henry,Midfielder,QPR,4.4,5896
328,Joey Barton,Midfielder,QPR,4.8,7185
329,Jermaine Jenas,Midfielder,QPR,4.4,5290
330,Gary ONeil,Midfielder,QPR,4.4,1593
331,Junior Hoilett,Midfielder,QPR,4.3,5570
332,Shaun WrightPhillips,Midfielder,QPR,4.5,5347
333,Matthew Phillips,Midfielder,QPR,4.6,29795
334,Adel Taarabt,Midfielder,QPR,5.3,3869
335,Loic Remy,Forward,Chelsea,6.9,75030
336,Bobby Zamora,Forward,QPR,4.1,109728
337,Charlie Austin,Forward,QPR,6.1,578926
338,Paulo Gazzaniga,Goalkeeper,Southampton,4.3,2911
339,Artur Boruc,Goalkeeper,Southampton,4.7,7160
340,Jos Hooiveld,Defender,Southampton,4,5825
341,Jose Fonte,Defender,Southampton,5.8,469846
342,Nathaniel Clyne,Defender,Southampton,5.9,1138355
343,Maya Yoshida,Defender,Southampton,4.1,80648
344,Dejan Lovren,Defender,Liverpool,4.9,346541
345,Calum Chambers,Defender,Arsenal,4.5,228246
346,Jack Stephens,Defender,Southampton,3.9,5309
347,Matt Targett,Defender,Southampton,3.9,15596
348,Jack Cork,Midfielder,Swansea,4.3,63999
349,Morgan Schneiderlin,Midfielder,Southampton,5.5,194513
350,Steven Davis,Midfielder,Southampton,4.7,58106
351,James WardProwse,Midfielder,Southampton,4.8,38747
352,Gaston Ramirez,Midfielder,Hull,5.4,4671
353,Victor Wanyama,Midfielder,Southampton,4.6,137321
354,Lloyd Isgrove,Midfielder,Southampton,4.2,18274
355,Harrison Reed,Midfielder,Southampton,4.3,2177
356,Dusan Tadic,Midfielder,Southampton,7.4,127476
357,Billy Sharp,Forward,Southampton,4.5,1260
358,Jay Rodriguez,Forward,Southampton,7.3,3879
359,Emmanuel Mayuka,Forward,Southampton,4.7,1499
360,Pablo Osvaldo,Forward,Southampton,7,639
361,Sam Gallagher,Forward,Southampton,4.7,1075
362,Graziano Pelle,Forward,Southampton,7.5,402329
363,Brad Friedel,Goalkeeper,Spurs,4.7,3775
364,Hugo Lloris,Goalkeeper,Spurs,5.4,310511
365,Michael Dawson,Defender,Hull,4.6,53594
366,Danny Rose,Defender,Spurs,4.8,224823
367,Benoit AssouEkotto,Defender,Spurs,4.4,5812
368,Younes Kaboul,Defender,Spurs,4.6,55199
369,Kyle Walker,Defender,Spurs,5.8,20328
370,Kyle Naughton,Defender,Swansea,4,11868
371,Jan Vertonghen,Defender,Spurs,5.8,66757
372,Vlad Chiriches,Defender,Spurs,4.7,3396
373,Ezekiel Fryers,Defender,Crystal Palace,4.2,1031
374,Milos Veljkovic,Defender,Spurs,3.9,8637
375,Ryan Fredericks,Defender,Spurs,4,3130
376,Mousa Dembele,Midfielder,Spurs,5,12713
377,Sandro Ranieri Guimaraes Cordeiro,Midfielder,QPR,4.8,3279
378,Aaron Lennon,Midfielder,Everton,6.2,25702
379,Iago Falque,Midfielder,Spurs,4.5,157
380,Tom Carroll,Midfielder,Swansea,4.4,4907
381,Gylfi Sigurdsson,Midfielder,Swansea,6.5,873514
382,Paulinho,Midfielder,Spurs,6.7,35340
383,Andros Townsend,Midfielder,Spurs,6.2,12857
384,Nacer Chadli,Midfielder,Spurs,6.2,389381
385,Etienne Capoue,Midfielder,Spurs,4.8,3182
386,Erik Lamela,Midfielder,Spurs,7.4,49009
387,Christian Eriksen,Midfielder,Spurs,7.9,644954
388,Nabil Bentaleb,Midfielder,Spurs,4.3,30087
389,Harry Winks,Midfielder,Spurs,4.4,1569
390,Alex Pritchard,Midfielder,Spurs,4.5,46
391,Lewis Holtby,Midfielder,Spurs,5.8,2996
392,Emmanuel Adebayor,Forward,Spurs,7.9,64764
393,Harry Kane,Forward,Spurs,6,1571020
394,Roberto Soldado,Forward,Spurs,7.6,26746
395,Asmir Begovic,Goalkeeper,Stoke,4.8,192577
396,Thomas Sorensen,Goalkeeper,Stoke,4.3,7934
397,Andy Wilkinson,Defender,Stoke,3.8,69090
398,Ryan Shawcross,Defender,Stoke,5.3,246084
399,Robert Huth,Defender,Leicester,4.7,19229
400,Marc Wilson,Defender,Stoke,4.3,43488
401,Geoff Cameron,Defender,Stoke,4.2,120627
402,Erik Pieters,Defender,Stoke,4.6,32871
403,Marc Muniesa,Defender,Stoke,4.2,6138
404,Phil Bardsley,Defender,Stoke,4.9,17749
405,Teixeira,Defender,Stoke,4.2,521
406,Ryan Shotton,Defender,Stoke,4,5711
407,Stephen Ireland,Midfielder,Stoke,4.7,4500
408,Charlie Adam,Midfielder,Stoke,5.4,35991
409,Glenn Whelan,Midfielder,Stoke,4.9,1386
410,Wilson Palacios,Midfielder,Stoke,4.3,8333
411,Jonathan Walters,Midfielder,Stoke,5.1,108501
412,Steven NZonzi,Midfielder,Stoke,4.9,15951
413,Brek Shea,Midfielder,Stoke,4.3,1130
414,Jamie Ness,Midfielder,Stoke,4.4,382
415,Charlie Ward,Midfielder,Stoke,4.3,3307
416,Steve Sidwell,Midfielder,Stoke,5,42791
417,Marko Arnautovic,Midfielder,Stoke,6.2,20490
418,Peter Odemwingie,Midfielder,Stoke,6.1,9360
419,Peter Crouch,Forward,Stoke,5.6,49554
420,Cameron Jerome,Forward,Stoke,5,2049
421,Mame Biram Diouf,Forward,Stoke,6.1,21669
422,Vito Mannone,Goalkeeper,Sunderland,4.1,154781
423,Costel Pantilimon,Goalkeeper,Sunderland,4.5,144394
424,John OShea,Defender,Sunderland,4.6,263852
425,Wes Brown,Defender,Sunderland,4.3,14398
426,Modibo Diakite,Defender,Sunderland,4,13268
427,Valentin Roberge,Defender,Sunderland,4,3663
428,Billy Jones,Defender,Sunderland,4.3,3116
429,Adam Johnson,Midfielder,Sunderland,5.9,84213
430,Lee Cattermole,Midfielder,Sunderland,4.3,92346
431,Sebastian Larsson,Midfielder,Sunderland,5.3,154894
432,Alfred NDiaye,Midfielder,Sunderland,4.5,1068
433,Cabral,Midfielder,Sunderland,4.3,1329
434,Emanuele Giaccherini,Midfielder,Sunderland,5.8,681
435,ElHadji Ba,Midfielder,Sunderland,4.5,676
436,Charalampos Mavrias,Midfielder,Sunderland,4.3,1175
437,Liam Bridcutt,Midfielder,Sunderland,4.2,10055
438,Liam Agnew,Midfielder,Sunderland,4.3,1949
439,Jordi Gomez GarciaPenche,Midfielder,Sunderland,5.1,29680
440,Connor Wickham,Forward,Sunderland,5.6,39075
441,Steven Fletcher,Forward,Sunderland,5,14778
442,Mikael Mandron,Forward,Sunderland,4.3,2621
443,M Karlsson,Forward,Sunderland,4.5,643
444,Jozy Altidore,Forward,Sunderland,5.1,6603
445,Ignacio Scocco,Forward,Sunderland,5,79
446,Danny Graham,Forward,Sunderland,4.7,7632
447,Michel Vorm,Goalkeeper,Spurs,4.7,13352
448,Lukasz Fabianski,Goalkeeper,Swansea,5.3,285411
449,Ashley Williams,Defender,Swansea,5.4,318678
450,Neil Taylor,Defender,Swansea,4.8,163758
451,Alan Tate,Defender,Swansea,3.9,3665
452,Angel Rangel,Defender,Swansea,4.9,17415
453,Chico,Defender,Swansea,5,1508
454,Kyle Bartley,Defender,Swansea,3.9,41297
455,Ben Davies,Defender,Spurs,4.4,28714
456,Dwight Tiendalli,Defender,Swansea,4.3,1051
457,Jordi Amat,Defender,Swansea,4.1,7652
458,Ashley Richards,Defender,Swansea,4,12857
459,Stephen Kingsley,Defender,Swansea,4.3,990
460,Wayne Routledge,Midfielder,Swansea,5.4,33036
